"ISO_CODE","AGE_GROUP","CUTT_OF_DATA_COUNTRY","COUNTRY_NAME","AT_LEAST_ONE","COMPLETE_SCH","ADDITIONAL_1_DOSE","ADDITIONAL_2_DOSE","n","PERCENT_COMPLETE","PERCENT_ONE","PERCENT_ADDITIONAL_1","PERCENT_ADDITIONAL_2"
"AIA","<18",2022-06-24,"ANGUILLA",885,599,8,0,4714,12.7,18.8,0.2,0
"AIA","18-59",2022-06-24,"ANGUILLA",5889,5623,1233,0,10786,52.1,54.6,11.4,0
"AIA","60+",2022-06-24,"ANGUILLA",3983,3874,1579,0,2924,100,100,54,0
"AIA","<18",2022-06-17,"ANGUILLA",885,599,8,0,4714,12.7,18.8,0.2,0
"AIA","18-59",2022-06-17,"ANGUILLA",5889,5623,1233,0,10786,52.1,54.6,11.4,0
"AIA","60+",2022-06-17,"ANGUILLA",3983,3874,1579,0,2924,100,100,54,0
"AIA","<18",2022-06-10,"ANGUILLA",885,599,8,0,4714,12.7,18.8,0.2,0
"AIA","18-59",2022-06-10,"ANGUILLA",5889,5623,1233,0,10786,52.1,54.6,11.4,0
"AIA","60+",2022-06-10,"ANGUILLA",3983,3874,1579,0,2924,100,100,54,0
"AIA","<18",2022-06-03,"ANGUILLA",885,599,8,0,4714,12.7,18.8,0.2,0
"AIA","18-59",2022-06-03,"ANGUILLA",5889,5623,1233,0,10786,52.1,54.6,11.4,0
"AIA","60+",2022-06-03,"ANGUILLA",3983,3874,1579,0,2924,100,100,54,0
"AIA","<18",2022-05-27,"ANGUILLA",828,507,8,0,4714,10.8,17.6,0.2,0
"AIA","18-59",2022-05-27,"ANGUILLA",5865,5585,1151,0,10786,51.8,54.4,10.7,0
"AIA","60+",2022-05-27,"ANGUILLA",3981,3861,1552,0,2924,100,100,53.1,0
"AIA","<18",2022-05-20,"ANGUILLA",828,507,8,0,4714,10.8,17.6,0.2,0
"AIA","18-59",2022-05-20,"ANGUILLA",5865,5585,1151,0,10786,51.8,54.4,10.7,0
"AIA","60+",2022-05-20,"ANGUILLA",3981,3861,1552,0,2924,100,100,53.1,0
"AIA","<18",2022-05-13,"ANGUILLA",828,507,8,0,4714,10.8,17.6,0.2,0
"AIA","18-59",2022-05-13,"ANGUILLA",5865,5585,1151,0,10786,51.8,54.4,10.7,0
"AIA","60+",2022-05-13,"ANGUILLA",3981,3861,1552,0,2924,100,100,53.1,0
"AIA","<18",2022-05-06,"ANGUILLA",828,507,8,0,4714,10.8,17.6,0.2,0
"AIA","18-59",2022-05-06,"ANGUILLA",5865,5585,1151,0,10786,51.8,54.4,10.7,0
"AIA","60+",2022-05-06,"ANGUILLA",3981,3861,1552,0,2924,100,100,53.1,0
"AIA","<18",2022-04-29,"ANGUILLA",815,456,11,0,4714,9.7,17.3,0.2,0
"AIA","18-59",2022-04-29,"ANGUILLA",8403,8044,1832,0,10786,74.6,77.9,17,0
"AIA","60+",2022-04-29,"ANGUILLA",1401,1369,1444,0,2924,46.8,47.9,49.4,0
"AIA","<18",2022-04-22,"ANGUILLA",815,456,11,0,4714,9.7,17.3,0.2,0
"AIA","18-59",2022-04-22,"ANGUILLA",8403,8044,1832,0,10786,74.6,77.9,17,0
"AIA","60+",2022-04-22,"ANGUILLA",1401,1369,1444,0,2924,46.8,47.9,49.4,0
"AIA","<18",2022-04-15,"ANGUILLA",815,456,11,0,4714,9.7,17.3,0.2,0
"AIA","18-59",2022-04-15,"ANGUILLA",8403,8044,1832,0,10786,74.6,77.9,17,0
"AIA","60+",2022-04-15,"ANGUILLA",1401,1369,1444,0,2924,46.8,47.9,49.4,0
"AIA","<18",2022-04-08,"ANGUILLA",815,456,11,0,4714,9.7,17.3,0.2,0
"AIA","18-59",2022-04-08,"ANGUILLA",8403,8044,1832,0,10786,74.6,77.9,17,0
"AIA","60+",2022-04-08,"ANGUILLA",1401,1369,1444,0,2924,46.8,47.9,49.4,0
"AIA","<18",2022-04-01,"ANGUILLA",815,456,11,0,4714,9.7,17.3,0.2,0
"AIA","18-59",2022-04-01,"ANGUILLA",8403,8044,1832,0,10786,74.6,77.9,17,0
"AIA","60+",2022-04-01,"ANGUILLA",1401,1369,1444,0,2924,46.8,47.9,49.4,0
"AIA","<18",2022-03-25,"ANGUILLA",798,259,11,0,4714,5.5,16.9,0.2,0
"AIA","18-59",2022-03-25,"ANGUILLA",5974,5687,1061,0,10786,52.7,55.4,9.8,0
"AIA","60+",2022-03-25,"ANGUILLA",3796,3694,1444,0,2924,100,100,49.4,0
"AIA","<18",2022-03-18,"ANGUILLA",798,259,11,0,4714,5.5,16.9,0.2,0
"AIA","18-59",2022-03-18,"ANGUILLA",5974,5687,1061,0,10786,52.7,55.4,9.8,0
"AIA","60+",2022-03-18,"ANGUILLA",3796,3694,1444,0,2924,100,100,49.4,0
"AIA","<18",2022-03-11,"ANGUILLA",798,259,11,0,4714,5.5,16.9,0.2,0
"AIA","18-59",2022-03-11,"ANGUILLA",5974,5687,1061,0,10786,52.7,55.4,9.8,0
"AIA","60+",2022-03-11,"ANGUILLA",3796,3694,1444,0,2924,100,100,49.4,0
"AIA","<18",2022-03-04,"ANGUILLA",798,259,11,0,4714,5.5,16.9,0.2,0
"AIA","18-59",2022-03-04,"ANGUILLA",5974,5687,1061,0,10786,52.7,55.4,9.8,0
"AIA","60+",2022-03-04,"ANGUILLA",3796,3694,1444,0,2924,100,100,49.4,0
"AIA","<18",2022-02-25,"ANGUILLA",479,36,0,0,4714,0.8,10.2,0,0
"AIA","18-59",2022-02-25,"ANGUILLA",8411,5868,0,0,10786,54.4,78,0,0
"AIA","60+",2022-02-25,"ANGUILLA",1312,1279,0,0,2924,43.7,44.9,0,0
"AIA","<18",2022-02-18,"ANGUILLA",479,36,0,0,4714,0.8,10.2,0,0
"AIA","18-59",2022-02-18,"ANGUILLA",8411,5868,0,0,10786,54.4,78,0,0
"AIA","60+",2022-02-18,"ANGUILLA",1312,1279,0,0,2924,43.7,44.9,0,0
"AIA","<18",2022-02-11,"ANGUILLA",479,36,0,0,4714,0.8,10.2,0,0
"AIA","18-59",2022-02-11,"ANGUILLA",8411,5868,0,0,10786,54.4,78,0,0
"AIA","60+",2022-02-11,"ANGUILLA",1312,1279,0,0,2924,43.7,44.9,0,0
"AIA","<18",2022-02-04,"ANGUILLA",479,36,0,0,4714,0.8,10.2,0,0
"AIA","18-59",2022-02-04,"ANGUILLA",8411,5868,0,0,10786,54.4,78,0,0
"AIA","60+",2022-02-04,"ANGUILLA",1312,1279,0,0,2924,43.7,44.9,0,0
"AIA","<18",2022-01-28,"ANGUILLA",385,0,0,0,4714,0,8.2,0,0
"AIA","18-59",2022-01-28,"ANGUILLA",8369,7881,0,0,10786,73.1,77.6,0,0
"AIA","60+",2022-01-28,"ANGUILLA",1312,1264,0,0,2924,43.2,44.9,0,0
"AIA","<18",2022-01-21,"ANGUILLA",385,0,0,0,4714,0,8.2,0,0
"AIA","18-59",2022-01-21,"ANGUILLA",8369,7881,0,0,10786,73.1,77.6,0,0
"AIA","60+",2022-01-21,"ANGUILLA",1312,1264,0,0,2924,43.2,44.9,0,0
"AIA","<18",2022-01-14,"ANGUILLA",385,0,0,0,4714,0,8.2,0,0
"AIA","18-59",2022-01-14,"ANGUILLA",8369,7881,0,0,10786,73.1,77.6,0,0
"AIA","60+",2022-01-14,"ANGUILLA",1312,1264,0,0,2924,43.2,44.9,0,0
"AIA","<18",2022-01-07,"ANGUILLA",385,0,0,0,4714,0,8.2,0,0
"AIA","18-59",2022-01-07,"ANGUILLA",8369,7881,0,0,10786,73.1,77.6,0,0
"AIA","60+",2022-01-07,"ANGUILLA",1312,1264,0,0,2924,43.2,44.9,0,0
"AIA","<18",2021-12-31,"ANGUILLA",385,0,0,0,4714,0,8.2,0,0
"AIA","18-59",2021-12-31,"ANGUILLA",8369,7881,0,0,10786,73.1,77.6,0,0
"AIA","60+",2021-12-31,"ANGUILLA",1312,1264,0,0,2924,43.2,44.9,0,0
"AIA","<18",2021-12-24,"ANGUILLA",363,0,0,0,4714,0,7.7,0,0
"AIA","18-59",2021-12-24,"ANGUILLA",8347,7881,0,0,10786,73.1,77.4,0,0
