,Month_Yr,Age_Cat,Country.x,Population,Partly_vaccinated_byAge,Fully_vaccinated_byAge,Booster_vaccinated_byAge,Country,Deaths3,Deaths_noncum,Deaths_WHO
1,2020-12,18-59,Argentina,25328018,0.001545409,1.92E-07,0,Argentina,6600,564,NA
2,2020-12,60+,Argentina,7279916.5,0.000357308,2.92E-07,0,Argentina,39659,3577,NA
3,2021-01,18-59,Argentina,25328018,0.010233753,0.002806262,0,Argentina,7313,713,NA
4,2021-01,60+,Argentina,7279916.5,0.002366104,0.004272594,0,Argentina,44200,4541,NA
5,2021-02,18-59,Argentina,25328018,0.023466209,0.008428089,0,Argentina,7817,504,NA
6,2021-02,60+,Argentina,7279916.5,0.005425526,0.012831946,0,Argentina,47480,3280,NA
7,2021-03,18-59,Argentina,25328018,0.101865521,0.019410482,0,Argentina,8394,577,725.2498092
8,2021-03,60+,Argentina,7279916.5,0.023551911,0.029552874,0,Argentina,50834,3354,4215.750191
9,2021-04,18-59,Argentina,25328018,0.22457392,0.027863195,0,Argentina,10159,1765,2345.534383
10,2021-04,60+,Argentina,7279916.5,0.051922819,0.04242231,0,Argentina,58725,7891,10486.46562
11,2021-05,18-59,Argentina,25328018,0.250238183,0.082029244,0,Argentina,14333,4174,4478.033075
12,2021-05,60+,Argentina,7279916.5,0.057856548,0.124891276,0,Argentina,70394,11669,12518.96693
13,2021-06,18-59,Argentina,25328018,0.471175502,0.118106819,0,Argentina,19512,5179,4218.012895
14,2021-06,60+,Argentina,7279916.5,0.108938563,0.179820155,0,Argentina,80957,10563,8602.987105
15,2021-07,18-59,Argentina,25328018,0.655515071,0.201703956,0,Argentina,22355,2843,2243.294967
16,2021-07,60+,Argentina,7279916.5,0.151558962,0.307098581,0,Argentina,87254,6297,4968.705033
17,2021-08,18-59,Argentina,25328018,0.527446879,0.377655187,0,Argentina,23578,1223,910.302612
18,2021-08,60+,Argentina,7279916.5,0.121948838,0.574988087,0,Argentina,90740,3486,2594.697388
19,2021-09,18-59,Argentina,25328018,0.296,0.575,0,Argentina,23943,365,223.4031746
20,2021-09,60+,Argentina,7279916.5,0.068,0.875,0,Argentina,91950,1210,740.5968254
21,2021-10,18-59,Argentina,25328018,0.223,0.664,0,Argentina,24039,96,71.1762014
22,2021-10,60+,Argentina,7279916.5,0.058,0.888,0,Argentina,92291,341,252.8237986
