"","Country","Month_Yr","Age_Cat","Country.x","Population","Partly_vaccinated_byAge","Fully_vaccinated_byAge","Booster_vaccinated_byAge","Deaths3","Deaths_noncum","Deaths_WHO","Deaths_Counterfactual_high2","Deaths_Counterfactual_low2","Deaths_Counterfactual_average"
"1","Argentina","2020-12","18-59","Argentina",25328018,0.00154544466711606,1.91520120064301e-07,0,6600,895.238095238095,NA,896.10380670158,895.726868146788,896.004547924512
"2","Argentina","2020-12","60+","Argentina",7279916.5,0.000357315948552786,2.9159347307345e-07,0,39659,5677.77777777778,NA,5679.27491861767,5678.09732439664,5678.84644399879
"3","Argentina","2021-01","18-59","Argentina",25328018,0.0102339313085276,0.00280637167931935,0,7313,1131.74603174603,NA,1142.07983079738,1138.022565039,1140.92470780535
"4","Argentina","2021-01","60+","Argentina",7279916.5,0.00236614545362819,0.0042727608171557,0,44200,7207.93650793651,NA,7249.57191095581,7229.5268714979,7241.93939875182
"5","Argentina","2021-02","18-59","Argentina",25328018,0.0234669214909585,0.00842825328368684,0,7817,800,NA,818.524456943657,811.357527919071,816.44217388912
"6","Argentina","2021-02","60+","Argentina",7279916.5,0.00542569105874426,0.0128321956257538,0,47480,5206.34920634921,NA,5291.05728433249,5252.06918932695,5276.08423890537
"7","Argentina","2021-03","18-59","Argentina",25328018,0.101867016703003,0.0194110840088428,0,8394,915.873015873016,"  725.2498092",997.694283021698,963.184414570182,987.832092039746
"8","Argentina","2021-03","60+","Argentina",7279916.5,0.023552256819003,0.0295537899639925,0,50834,5323.80952380952," 4215.7501908",5574.7885134085,5442.36949573802,5524.0916987596
"9","Argentina","2021-04","18-59","Argentina",25328018,0.224576662614652,0.0278643169881894,0,10159,2801.5873015873," 2345.5343828",3362.00774835697,3106.54973665625,3287.96391600624
"10","Argentina","2021-04","60+","Argentina",7279916.5,0.0519234527980334,0.0424240177098771,0,58725,12525.3968253968,"10486.4656172",13584.6823360288,12967.7995433942,13347.2308471897
"11","Argentina","2021-05","18-59","Argentina",25328018,0.250240711577891,0.0820323082261986,0,14333,6625.39682539683," 4478.0330745",8648.45090117333,7739.52349224747,8366.41231036277
"12","Argentina","2021-05","60+","Argentina",7279916.5,0.0578571327246771,0.124895941229977,0,70394,18522.2222222222,"12518.9669255",22038.2827507078,20254.3739727507,21321.7416065172
"13","Argentina","2021-06","18-59","Argentina",25328018,0.471182376913577,0.118111196764117,0,19512,8220.63492063492," 4218.0128954",13841.8777720355,10908.5838332377,12864.470713423
"14","Argentina","2021-06","60+","Argentina",7279916.5,0.10894015265031,0.179826819562079,0,80957,16766.6666666667," 8602.9871046",22314.1047440718,19209.2719184593,21024.8417348325
"15","Argentina","2021-07","18-59","Argentina",25328018,0.655523868857069,0.201712793494106,0,22355,4512.69841269841," 2243.2949672",11290.8071271089,7142.16729096721,9682.66349007497
"16","Argentina","2021-07","60+","Argentina",7279916.5,0.151560995992661,0.307112036054209,0,87254,9995.2380952381," 4968.7050328",16635.3663354941,12680.2514440014,14868.2190380935
"17","Argentina","2021-08","18-59","Argentina",25328018,0.52744912269587,0.377671602842993,0,23578,1941.26984126984,"  910.3026120",6193.34208659945,3480.54312621784,5008.20957350617
"18","Argentina","2021-08","60+","Argentina",7279916.5,0.121949357100636,0.575013081222126,0,90740,5533.33333333333," 2594.6973880",14878.1083274375,8797.78838757591,11736.2409540079
"19","Argentina","2021-09","18-59","Argentina",25328018,0.296,0.575,0,23943,579.365079365079,"  223.4031746",2132.95933498418,1145.75562206588,1663.65372140787
"20","Argentina","2021-09","60+","Argentina",7279916.5,0.068,0.875,0,91950,1920.63492063492,"  740.5968254",14674.3293346392,4232.11403679603,7456.40192495951
"21","Argentina","2021-10","18-59","Argentina",25328018,0.223,0.664,0,24039,152.380952380952,"   71.1762014",653.588763992161,323.465316279838,486.651351140332
"22","Argentina","2021-10","60+","Argentina",7279916.5,0.058,0.888,0,92291,541.269841269841,"  252.8237986",4292.8623421303,1209.70914689821,2144.97494392495
"23","Argentina","2021-11","18-59","Argentina",25328018,0.14,0.777,0.02,24105,104.761904761905,"   76.7300613",590.75706860972,249.829264409527,401.827232627904
"24","Argentina","2021-11","60+","Argentina",7279916.5,0.0410000000000001,0.911,0.098,92551,412.698412698413,"  302.2699387",3691.56413702234,1011.99443044973,1784.98758980513
"25","Argentina","2021-12","18-59","Argentina",25328018,0.123,0.806,0.035,24208,163.492063492063,"  159.4944356",1022.59234108121,406.3499638171,670.939810667039
"26","Argentina","2021-12","60+","Argentina",7279916.5,0.0369999999999999,0.919,0.165,93077,834.920634920635,"  814.5055644",8056.20227255357,2172.89745010484,3812.72591941385
"27","Argentina","2022-01","18-59","Argentina",25328018,0.106,0.845,0.047,25029,1303.1746031746,"  954.0947177",9790.20812241456,3436.29753129856,5963.6454141666
"28","Argentina","2022-01","60+","Argentina",7279916.5,0.0339999999999999,0.929,0.23,98844,9153.96825396825," 6701.9052823",98453.0561419718,25436.5924016969,44685.4156039643
"29","Argentina","2022-02","18-59","Argentina",25328018,0.0839999999999999,0.889,0.051,25505,755.555555555556,"  282.4249597",7188.92060471508,2120.65530743888,3917.50337049315
"30","Argentina","2022-02","60+","Argentina",7279916.5,0.0290000000000001,0.941,0.241,102086,5146.03174603175," 1923.5750403",60657.8703399667,14696.7752002209,26188.3234488972
"31","Argentina","2022-03","18-59","Argentina",25328018,0.0780000000000001,0.901,0.481,25591,136.507936507937,"   43.5384615",1746.51914672385,535.732818332129,1023.5142399513
"32","Argentina","2022-03","60+","Argentina",7279916.5,0.027,0.945,0.816,102559,750.793650793651,"  239.4615385",14573.7067529873,4115.89991280035,5920.2638339919
"33","Argentina","2022-04","18-59","Argentina",25328018,0.075,0.906,0.521,25630,61.9047619047619,"   49.2514286",842.127083454792,254.12985449111,491.725210335458
"34","Argentina","2022-04","60+","Argentina",7279916.5,0.0259999999999999,0.947,0.889,102695,215.873015873016,"  171.7485714",4648.42842103824,1346.49652494989,1842.57709552567
"35","Argentina","2022-05","18-59","Argentina",25328018,0.074,0.908,0.544,25655,39.6825396825397,"   46.8918919",557.260773522534,167.094227375676,325.442777917067
"36","Argentina","2022-05","60+","Argentina",7279916.5,0.0240000000000001,0.95,0.996,102855,253.968253968254,"  300.1081081",6457.69563588928,1984.37503100586,2460.32238096222
"37","Brazil","2021-01","18-59","Brazil",130378055,0.0144413057888278,0,0,46623,10012.6984126984,NA,10103.8943047691,10064.0024928212,10093.362736994
"38","Brazil","2021-01","60+","Brazil",30483308,0.00197021899194663,0,0,185870,41487.3015873016,NA,41547.6308827696,41500.1385920135,41530.3409410617
"39","Brazil","2021-02","18-59","Brazil",130378055,0.0320061001364833,0.00945154108092123,0,53555,11003.1746031746,NA,11331.0442482534,11201.5119134161,11293.7950480941
"40","Brazil","2021-02","60+","Brazil",30483308,0.00436657372048928,0.0224033548818522,0,209345,37261.9047619048,NA,38185.5249753322,37806.1778191899,38037.4801257663
"41","Brazil","2021-03","18-59","Brazil",130378055,0.0876696373630169,0.025032248038257,0,77034,37268.253968254,"17186.5626679",40440.7937023375,39144.0051885358,40062.9983758422
"42","Brazil","2021-03","60+","Brazil",30483308,0.0119607178932059,0.0593349096713611,0,269242,95074.6031746032,"43844.4373321",101613.701386656,98849.7541096219,100524.032133178
"43","Brazil","2021-04","18-59","Brazil",130378055,0.110828850134385,0.0771691520443991,0,101994,39619.0476190476,"27012.9024143",46186.4289722661,43606.5754346948,45373.2063221978
"44","Brazil","2021-04","60+","Brazil",30483308,0.0151203158899453,0.18291703801321,0,322193,84049.2063492063,"57306.0975857",102794.129055004,94897.8440757508,99546.2813590514
"45","Brazil","2021-05","18-59","Brazil",130378055,0.166236609298061,0.10977741771265,0,124770,36152.380952381,"25238.3353661",45626.0648409107,41703.5684886398,44367.0490633045
"46","Brazil","2021-05","60+","Brazil",30483308,0.0226795644095587,0.260209676493319,0,356155,53907.9365079365,"37633.6646339",72875.2604212823,64391.4439898995,69297.0680357547
"47","Brazil","2021-06","18-59","Brazil",130378055,0.335753633056111,0.130934306710648,0,149602,39415.873015873,"26345.0983216",59145.5993985879,49723.2233646704,56061.4723299817
"48","Brazil","2021-06","60+","Brazil",30483308,0.0458066738655996,0.310358672129056,0,381312,39931.746031746,"26689.9016784",59092.9418094253,49736.3252882272,55058.5232934236
"49","Brazil","2021-07","18-59","Brazil",130378055,0.440528997434344,0.203990680485444,0,162462,20412.6984126984,"17960.8814380",38377.0786293341,28905.4904355275,35006.9143066042
"50","Brazil","2021-07","60+","Brazil",30483308,0.0601011161968342,0.48352703208697,0,397382,25507.9365079365,"22444.1185620",50699.087340078,36720.7928780227,44139.7491855468
"51","Brazil","2021-08","18-59","Brazil",130378055,0.508800273513266,0.308132711242177,0,168087,8928.57142857143," 7615.5121139",22846.0646326735,14601.5869055432,19539.5569425582
