"","Country","Month_Yr","Age_Cat","Country.x","Population","Partly_vaccinated_byAge","Fully_vaccinated_byAge","Booster_vaccinated_byAge","Deaths3","Deaths_noncum","Deaths_WHO","Deaths_Counterfactual_high2","Deaths_Counterfactual_low2","Deaths_Counterfactual_average"
"1","Argentina","2020-12","18-59","Argentina",25328018,0.00154544466711606,1.91520120064301e-07,0,6600,564,NA,564.545398221995,564.307926932476,564.482865192442
"2","Argentina","2020-12","60+","Argentina",7279916.5,0.000357315948552786,2.9159347307345e-07,0,39659,3577,NA,3577.94319872913,3577.20131436988,3577.67325971923
"3","Argentina","2021-01","18-59","Argentina",25328018,0.0102339313085276,0.00280637167931935,0,7313,713,NA,719.510293402348,716.954215974568,718.78256591737
"4","Argentina","2021-01","60+","Argentina",7279916.5,0.00236614545362819,0.0042727608171557,0,44200,4541,NA,4567.23030390216,4554.60192904367,4562.42182121364
"5","Argentina","2021-02","18-59","Argentina",25328018,0.0234669214909585,0.00842825328368684,0,7817,504,NA,515.670407874504,511.155242589015,514.358569550146
"6","Argentina","2021-02","60+","Argentina",7279916.5,0.00542569105874426,0.0128321956257538,0,47480,3280,NA,3333.36608912947,3308.80358927598,3323.93307051038
"7","Argentina","2021-03","18-59","Argentina",25328018,0.101867016703003,0.0194110840088428,0,8394,577,"  725.2498092",628.54739830367,606.806181179214,622.33421798504
"8","Argentina","2021-03","60+","Argentina",7279916.5,0.023552256819003,0.0295537899639925,0,50834,3354," 4215.7501908",3512.11676344736,3428.69278231495,3480.17777021854
"9","Argentina","2021-04","18-59","Argentina",25328018,0.224576662614652,0.0278643169881894,0,10159,1765," 2345.5343828",2118.06488146489,1957.12633409344,2071.41726708393
"10","Argentina","2021-04","60+","Argentina",7279916.5,0.0519234527980334,0.0424240177098771,0,58725,7891,"10486.4656172",8558.34987169813,8169.71371233834,8408.75543372951
"11","Argentina","2021-05","18-59","Argentina",25328018,0.250240711577891,0.0820323082261986,0,14333,4174," 4478.0330745",5448.5240677392,4875.8998001159,5270.83975552854
"12","Argentina","2021-05","60+","Argentina",7279916.5,0.0578571327246771,0.124895941229977,0,70394,11669,"12518.9669255",13884.1181329459,12760.2556028329,13432.6972121058
"13","Argentina","2021-06","18-59","Argentina",25328018,0.471182376913577,0.118111196764117,0,19512,5179," 4218.0128954",8720.38299638237,6872.40781493976,8104.61654945648
"14","Argentina","2021-06","60+","Argentina",7279916.5,0.10894015265031,0.179826819562079,0,80957,10563," 8602.9871046",14057.8859887652,12101.8413086294,13245.6502929445
"15","Argentina","2021-07","18-59","Argentina",25328018,0.655523868857069,0.201712793494106,0,22355,2843," 2243.2949672",7113.20849007861,4499.56539330934,6100.07799874723
"16","Argentina","2021-07","60+","Argentina",7279916.5,0.151560995992661,0.307112036054209,0,87254,6297," 4968.7050328",10480.2807913613,7988.55840972086,9366.97799399893
"17","Argentina","2021-08","18-59","Argentina",25328018,0.52744912269587,0.377671602842993,0,23578,1223,"  910.3026120",3901.80551455765,2192.74216951724,3155.17203130889
"18","Argentina","2021-08","60+","Argentina",7279916.5,0.121949357100636,0.575013081222126,0,90740,3486," 2594.6973880",9373.20824628562,5542.60668417282,7393.831801025
"19","Argentina","2021-09","18-59","Argentina",25328018,0.296,0.575,0,23943,365,"  223.4031746",1343.76438104004,721.826041901507,1048.10184448696
"20","Argentina","2021-09","60+","Argentina",7279916.5,0.068,0.875,0,91950,1210,"  740.5968254",9244.82748082271,2666.2318431815,4697.53321272449
"21","Argentina","2021-10","18-59","Argentina",25328018,0.223,0.664,0,24039,96,"   71.1762014",411.760921315062,203.783149256298,306.590351218409
"22","Argentina","2021-10","60+","Argentina",7279916.5,0.058,0.888,0,92291,341,"  252.8237986",2704.50327554209,762.116762545872,1351.33421467272
"23","Argentina","2021-11","18-59","Argentina",25328018,0.14,0.777,0.02,24105,66,"   76.7300613",372.176953224124,157.392436578002,253.151156555579
"24","Argentina","2021-11","60+","Argentina",7279916.5,0.0410000000000001,0.911,0.098,92551,260,"  302.2699387",2325.68540632408,637.556491183329,1124.54218157723
"25","Argentina","2021-12","18-59","Argentina",25328018,0.123,0.806,0.035,24208,103,"  159.4944356",644.233174881161,256.000477204773,422.692080720234
"26","Argentina","2021-12","60+","Argentina",7279916.5,0.0369999999999999,0.919,0.165,93077,526,"  814.5055644",5075.40743170875,1368.92539356605,2402.01732923072
"27","Argentina","2022-01","18-59","Argentina",25328018,0.106,0.845,0.047,25029,821,"  954.0947177",6167.83111712117,2164.86744471809,3757.09661092496
"28","Argentina","2022-01","60+","Argentina",7279916.5,0.0339999999999999,0.929,0.23,98844,5767," 6701.9052823",62025.4253694422,16025.053213069,28151.8118304975
"29","Argentina","2022-02","18-59","Argentina",25328018,0.0839999999999999,0.889,0.051,25505,476,"  282.4249597",4529.0199809705,1336.0128436865,2468.02712341069
"30","Argentina","2022-02","60+","Argentina",7279916.5,0.0290000000000001,0.941,0.241,102086,3242," 1923.5750403",38214.458314179,9258.96837613916,16498.6437728052
"31","Argentina","2022-03","18-59","Argentina",25328018,0.0780000000000001,0.901,0.481,25591,86,"   43.5384615",1100.30706243603,337.511675549242,644.813971169318
"32","Argentina","2022-03","60+","Argentina",7279916.5,0.027,0.945,0.816,102559,473,"  239.4615385",9181.43525438202,2593.01694506422,3729.7662154149
"33","Argentina","2022-04","18-59","Argentina",25328018,0.075,0.906,0.521,25630,39,"   49.2514286",530.540062576519,160.101808329399,309.786882511339
"34","Argentina","2022-04","60+","Argentina",7279916.5,0.0259999999999999,0.947,0.889,102695,136,"  171.7485714",2928.50990525409,848.29281071843,1160.82357018118
"35","Argentina","2022-05","18-59","Argentina",25328018,0.074,0.908,0.544,25655,25,"   46.8918919",351.074287319196,105.269363246676,205.028950087752
"36","Argentina","2022-05","60+","Argentina",7279916.5,0.0240000000000001,0.95,0.996,102855,160,"  300.1081081",4068.34825061025,1250.15626953369,1550.0031000062
"37","Brazil","2021-01","18-59","Brazil",130378055,0.0144413057888278,0,0,46623,6308,NA,6365.45341200456,6340.32157047736,6358.81852430624
"38","Brazil","2021-01","60+","Brazil",30483308,0.00197021899194663,0,0,185870,26137,NA,26175.0074561449,26145.0873129685,26164.1147928689
"39","Brazil","2021-02","18-59","Brazil",130378055,0.0320061001364833,0.00945154108092123,0,53555,6932,NA,7138.55787639965,7056.95250545213,7115.09088029928
"40","Brazil","2021-02","60+","Brazil",30483308,0.00436657372048928,0.0224033548818522,0,209345,23475,NA,24056.8807344593,23817.8920260896,23963.6124792328
"41","Brazil","2021-03","18-59","Brazil",130378055,0.0876696373630169,0.025032248038257,0,77034,23479,"17186.5626679",25477.7000324726,24660.7232687776,25239.6889767806
